layer,feature_set,target,target_label,scope,auc,auc_lo,auc_hi,n,n_games
15,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.44931411299697743,0.40279953059724694,0.49813168493759846,525,144
15,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.4323881172839506,0.3603116907303792,0.5089871843125108,576,144
15,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.5134002057613168,0.43278571640550806,0.6058988297450906,576,144
15,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.33680968334594186,0.2156985439999553,0.4636154351288649,525,144
15,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.5909576416015625,0.49407868071342087,0.6958507405107468,576,144
15,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.4708643338758428,0.4484264065777984,0.4940908006762262,525,144
15,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.41717303240740733,0.33494737716621314,0.4974584766912192,576,144
15,residual,incentive_sign_q05,objective incentive sign,all,0.8949974279835391,0.8533557650337179,0.9333413952578535,576,144
15,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.6839943802010159,0.5902540507474174,0.7682952296131604,525,144
15,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.8123779296875,0.7636162012290589,0.8611556661559254,576,144
15,residual,literal_J_choice,literal J/P choice control,pure,0.9960474308300395,0.9876530456075912,1.0,525,144
15,residual,stimulus_control,strategically inert payoff control,all,0.5400270061728396,0.4853255170200192,0.6014399332368082,576,144
18,router_gate,incentive_sign_q05,objective incentive sign,all,0.8913451646090534,0.8516040142909016,0.929380593037693,576,144
18,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.6694045174537988,0.5599659839981304,0.7659112469931354,525,144
18,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.784698486328125,0.7149701572701243,0.8537882401090311,576,144
18,router_gate,literal_J_choice,literal J/P choice control,pure,0.9922401767030923,0.980151435062583,0.9999450502888096,525,144
