model,layer,depth_frac,auc,lo,hi,auc_gain_over_embedding,row_scope,n_obs,n_games
qwen,53,0.6625,0.5943375359433754,0.5409312292062813,0.6518241780878212,0.16547224065472238,parsed_generated_choice,576,144
qwen,54,0.675,0.6812652068126521,0.6266746647994417,0.7349257177766954,0.25239991152399915,parsed_generated_choice,576,144
qwen,55,0.6875,0.7153137211531372,0.6599002404357964,0.766964379256155,0.2864484258644842,parsed_generated_choice,576,144
qwen,56,0.7,0.8347120843471209,0.7968552295852707,0.872754665517715,0.4058467890584679,parsed_generated_choice,576,144
qwen,57,0.7125,0.858689080586891,0.8204225893776055,0.89318308263153,0.429823785298238,parsed_generated_choice,576,144
qwen,58,0.725,0.855297500552975,0.8182561303827751,0.8887474228005043,0.4264322052643221,parsed_generated_choice,576,144
qwen,59,0.7375,0.855459706554597,0.8180132115696794,0.8883975702023231,0.42659441126594405,parsed_generated_choice,576,144
qwen,60,0.75,0.8532183145321832,0.8150417257473709,0.8887005787886199,0.42435301924353025,parsed_generated_choice,576,144
qwen,61,0.7625,0.8888446508884466,0.856924798690462,0.9159639630058978,0.4599793555997936,parsed_generated_choice,576,144
qwen,62,0.775,0.8903192509031925,0.8598457632792558,0.9169488689280898,0.46145395561453956,parsed_generated_choice,576,144
qwen,63,0.7875,0.8975890289758904,0.8676574082997277,0.9229941560914625,0.46872373368723746,parsed_generated_choice,576,144
qwen,64,0.8,0.8916316449163164,0.8616644506331196,0.9185435954826667,0.46276634962766344,parsed_generated_choice,576,144
qwen,65,0.8125,0.8843323748433237,0.8523618946155797,0.9117812376292628,0.45546707955467075,parsed_generated_choice,576,144
qwen,66,0.825,0.8844945808449458,0.8526844594115665,0.9117398590095456,0.45562928555629284,parsed_generated_choice,576,144
qwen,67,0.8375,0.8832411708324118,0.8505883901406724,0.9119475974410569,0.45437587554375886,parsed_generated_choice,576,144
qwen,68,0.85,0.8810882548108826,0.8475164925671709,0.9096591170833849,0.45222295952222963,parsed_generated_choice,576,144
qwen,69,0.8625,0.8794367027943669,0.8463594920134526,0.9076956353462218,0.45057140750571395,parsed_generated_choice,576,144
qwen,70,0.875,0.872830494728305,0.839335389762174,0.9014680198212032,0.443965199439652,parsed_generated_choice,576,144
qwen,71,0.8875,0.8780505787805059,0.8465562971930809,0.9070232762524202,0.4491852834918529,parsed_generated_choice,576,144
qwen,72,0.9,0.8769446287694462,0.8442479860704986,0.9069736676596262,0.44807933348079326,parsed_generated_choice,576,144
qwen,73,0.9125,0.8742313647423137,0.8406301174264559,0.9029538904408145,0.4453660694536607,parsed_generated_choice,576,144
qwen,74,0.925,0.8803067168030672,0.8475304119057356,0.908512009680031,0.4514414215144142,parsed_generated_choice,576,144
qwen,75,0.9375,0.8783307527833075,0.8458597705554325,0.9065319091539237,0.44946545749465455,parsed_generated_choice,576,144
qwen,76,0.95,0.8760598687605987,0.8438959749168125,0.9046390383499586,0.44719457347194574,parsed_generated_choice,576,144
qwen,77,0.9625,0.8753668067536682,0.8413498602216911,0.9038894860627031,0.4465015114650152,parsed_generated_choice,576,144
qwen,78,0.975,0.854560200545602,0.8186437722303823,0.8859665250536773,0.42569490525694903,parsed_generated_choice,576,144
qwen,79,0.9875,0.8395930103959302,0.8012538186738732,0.8729337270020209,0.4107277151072772,parsed_generated_choice,576,144
qwen,80,1.0,0.8266755142667551,0.788674732945774,0.862199692051107,0.39781021897810215,parsed_generated_choice,576,144
qwen_instruct,0,0.0,0.4408878929198716,0.3782255749541494,0.5049961634020729,0.0,parsed_generated_choice,576,144
qwen_instruct,1,0.0125,0.776588335049361,0.7273922365154594,0.8165478711459168,0.33570044212948935,parsed_generated_choice,576,144
qwen_instruct,2,0.025,0.6888135182605535,0.63450311942959,0.7384043503373643,0.24792562534068185,parsed_generated_choice,576,144
qwen_instruct,3,0.0375,0.6409363454666586,0.5847793548993455,0.6970264854448154,0.20004845254678694,parsed_generated_choice,576,144
qwen_instruct,4,0.05,0.6540942402035008,0.5964429065120613,0.710628213972156,0.2132063472836292,parsed_generated_choice,576,144
qwen_instruct,5,0.0625,0.6560929077584641,0.5975647595971656,0.7117272259730271,0.21520501483859245,parsed_generated_choice,576,144
qwen_instruct,6,0.075,0.6694324995457575,0.6132806246031828,0.7231612366119432,0.22854460662588583,parsed_generated_choice,576,144
qwen_instruct,7,0.0875,0.6652837502271214,0.6141547777554373,0.7164740782006949,0.22439585730724976,parsed_generated_choice,576,144
qwen_instruct,8,0.1,0.6537157046817272,0.6018906411612617,0.7055135884396763,0.2128278117618556,parsed_generated_choice,576,144
qwen_instruct,9,0.1125,0.6210708012839925,0.5686307116621565,0.6743979193092665,0.18018290836412088,parsed_generated_choice,576,144
qwen_instruct,10,0.125,0.6232057416267942,0.5697818038979184,0.6758750630573152,0.18231784870692258,parsed_generated_choice,576,144
qwen_instruct,11,0.1375,0.6344861001756406,0.5815079259809374,0.6843111969386634,0.19359820725576893,parsed_generated_choice,576,144
qwen_instruct,12,0.15,0.5964659923687239,0.5425469048232117,0.6445124039908515,0.15557809944885226,parsed_generated_choice,576,144
qwen_instruct,13,0.1625,0.5810823087638544,0.5294869720110204,0.6279877031068059,0.14019441584398273,parsed_generated_choice,576,144
qwen_instruct,14,0.175,0.5899097571316092,0.5377069497805034,0.6423896391189726,0.14902186421173758,parsed_generated_choice,576,144
qwen_instruct,15,0.1875,0.5519804978499183,0.4943812919999751,0.609225575634543,0.11109260493004669,parsed_generated_choice,576,144
qwen_instruct,16,0.2,0.546741566228575,0.4954874672147156,0.5996790038587646,0.10585367330870332,parsed_generated_choice,576,144
qwen_instruct,17,0.2125,0.5624583610926049,0.512178944504718,0.6101154733222491,0.12157046817273331,parsed_generated_choice,576,144
qwen_instruct,18,0.225,0.5762370540851554,0.5298174235271491,0.6231789957717248,0.13534916116528373,parsed_generated_choice,576,144
qwen_instruct,19,0.2375,0.55411543819272,0.5038513704683634,0.6018767136179101,0.1132275452728484,parsed_generated_choice,576,144
qwen_instruct,20,0.25,0.5300405790079341,0.4838356796415443,0.5793063688848331,0.08915268608806248,parsed_generated_choice,576,144
