layer,feature_set,target,scope,objective_baseline_auc,objective_baseline_auc_lo,objective_baseline_auc_hi,augmented_auc,augmented_auc_lo,augmented_auc_hi,logloss_improvement,logloss_improvement_lo,logloss_improvement_hi,objective_baseline_logloss,augmented_logloss,n,n_games
18,residual,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.811004638671875,0.7415573145584661,0.870354251856797,-0.11770877090656107,-0.2442272806869918,-0.01791675869627178,0.3169632981403417,0.43467206904690275,576,144
21,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.779632568359375,0.7021678245561235,0.8463606754195417,-0.014432817790491936,-0.06444150195964381,0.027517114815881153,0.3169632981403417,0.3313961159308336,576,144
21,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.805023193359375,0.740692572420096,0.8664674753971532,0.023987295611480053,-0.003582085799712044,0.049777851614085836,0.3169632981403417,0.29297600252886163,576,144
21,router_topk_binary,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.8033294677734375,0.7379595967828936,0.8657820686121823,0.025677710998140035,-0.0016835889420058075,0.05156092637391185,0.3169632981403417,0.29128558714220165,576,144
21,residual,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.79595947265625,0.7377412876268242,0.8562083021832936,-0.1434106162383288,-0.2534886665650168,-0.05091947737300919,0.3169632981403417,0.4603739143786705,576,144
22,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.7777099609375,0.6934006030508575,0.8568399607826112,-0.014103664264670579,-0.07409881797262276,0.0364560139087814,0.3169632981403417,0.33106696240501227,576,144
22,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.80181884765625,0.7238051817499209,0.8746617127469051,0.025073180459068922,-0.011448609531181016,0.056590853856434524,0.3169632981403417,0.29189011768127276,576,144
22,router_topk_binary,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.7985687255859375,0.7175244687030903,0.8750287483314694,0.025103845423982918,-0.01121514638155229,0.05797589780407793,0.3169632981403417,0.29185945271635877,576,144
22,residual,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.803955078125,0.7529289245605468,0.8579950434546443,-0.09892258337950005,-0.19313548658727786,-0.013233859761541521,0.3169632981403417,0.41588588151984174,576,144
24,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.789459228515625,0.7252668755391646,0.8478622097155384,-0.009102933115777478,-0.05631715240390545,0.03251025233272588,0.3169632981403417,0.32606623125611917,576,144
24,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.805023193359375,0.7399409556310935,0.8704298173260219,0.02869311850471562,0.0005193424309467329,0.05652917088677909,0.3169632981403417,0.28827017963562607,576,144
