game_code,gate_margin,topk_binary_margin,topk_weight_margin,residual_margin,gate_minus_topk_margin,median_n_new_tokens,mixed_rate,pure_canonical_rate,abs_delta1c_q05,complexity_score,dominance_profile,num_pure_ne,log_median_n_new_tokens
HrPd,0.24704510885818698,-0.14702418474339246,-0.14144244768781034,0.24119606889840575,0.39406929360157944,458.5,0.0,1.0,1.0,0.5098945387370066,1,1,6.1301389417957415
HrSh,-0.16868416160166874,0.07451663492863997,0.0662200186554042,-0.22608937051751005,-0.2432007965303087,675.5,0.25,0.3333333333333333,1.0,0.5678259637502947,2,0,6.516932447610842
NcAs,0.4585462429336443,0.15052527361211177,0.16631274398998563,0.4975595441038029,0.30802096932153256,212.0,0.0,1.0,1.0,-0.3079201435678004,1,1,5.3612921657094255
NcBa,0.407968679539481,0.2990647319133106,0.29051206751750036,0.48670663651031276,0.10890394762617042,299.5,0.0,1.0,1.0,-0.3079201435678004,1,1,5.705447753975262
NcCh,0.39818499917016204,0.22616233859192256,0.24222643090680238,0.4914363732059678,0.17202266057823948,219.5,0.0,1.0,1.0,-0.4233901974057255,1,1,5.395897694886901
NcCm,0.4591701607880343,0.20592078590381202,0.23124164118433993,0.49668638638946727,0.2532493748842223,334.0,0.0,1.0,1.0,0.2694301256218253,0,1,5.814130531825066
NcCo,0.3220665328414043,0.08968651695517235,0.13241926598114181,0.4777304145082689,0.23238001588623194,378.5,0.0,1.0,1.0,-0.4233901974057255,1,1,5.938854596835685
NcDl,0.4126639914592621,0.26252080656110605,0.2768748034913676,0.4830227837880252,0.15014318489815603,300.5,0.0,1.0,1.0,0.1539600717839002,0,1,5.70877001616724
NcHa,0.4414530241222545,0.1750787594125821,0.22814457240416683,0.4344488539965412,0.2663742647096724,238.5,0.0,1.0,1.0,-0.7698003589195012,0,1,5.4785534168509695
NcHr,0.41750766044358734,0.1919196186886255,0.18720181761449917,0.4983801739032329,0.22558804175496186,284.5,0.0,1.0,1.0,0.0384900179459749,1,1,5.654242029096065
NcNc,0.435857574161449,0.1953311795336056,0.19674481357839524,0.49908297002265545,0.24052639462784342,291.5,0.0,1.0,1.0,-0.6543303050815759,0,1,5.678464666671911
NcPc,0.435238774003948,0.2280523562305112,0.24402559537765878,0.47190357154325846,0.2071864177734368,369.0,0.0,1.0,1.0,-0.6543303050815759,0,1,5.91350300563827
NcPd,0.2533410437287631,0.1750787594125821,0.19476140827008911,0.4179850035120053,0.07826228431618096,266.5,0.0,1.0,1.0,-0.1924500897298753,0,1,5.589119566336061
NcSh,0.3986824671843407,0.25465137418847084,0.2517167750738444,0.494735830219067,0.14403109299586983,315.0,0.0,1.0,1.0,-0.4233901974057255,1,1,5.755742213586912
PcAs,0.4211753548117826,0.1927318083344179,0.17894483721280935,0.4911597947907141,0.22844354647736473,354.5,0.0,1.0,2.0,-0.6543303050815759,1,1,5.873525249243295
PcBa,0.41657229590806755,0.11589972775210727,0.12367798463947909,0.49941793358996145,0.30067256815596033,319.5,0.0,1.0,2.0,-0.1924500897298753,1,1,5.7698822763607245
PcCh,0.48108827353221495,0.19805135353117684,0.22341877929831938,0.4994079995717382,0.2830369200010381,316.0,0.0,1.0,2.0,-0.5388602512436508,1,1,5.75890177387728
PcCm,0.4024564915354706,0.17025680112922353,0.19910631345631527,0.4744694427694669,0.23219969040624708,220.5,0.0,1.0,2.0,-0.0769800358919501,0,1,5.40042258948519
PcCo,0.41109528544175183,0.1919196186886255,0.1867417557440612,0.4459562105182384,0.21917566675312633,188.0,0.0,1.0,2.0,-0.4233901974057255,1,1,5.241747015059643
PcDl,0.4674726023516156,0.2634544308838702,0.24847439630550683,0.49799552438146827,0.2040181714677453,279.0,0.0,1.0,2.0,-0.4233901974057255,0,1,5.634789603169249
PcHa,0.37602443718107714,0.1845945787678593,0.22946901604373898,0.495681342156592,0.19142985841321783,310.0,0.0,1.0,2.0,-0.4233901974057255,0,1,5.739792912179234
PcHr,0.4807192795948688,0.16425726196291898,0.17291137010535498,0.4995087661590324,0.3164620176319498,228.5,0.0,1.0,2.0,0.0384900179459749,1,1,5.4359030295006
PcNc,0.32761401503779575,0.1501752113338169,0.15961292367410387,0.4953628902232447,0.17743880370397883,317.0,0.0,1.0,2.0,-0.6543303050815759,0,1,5.762051382780177
PcPc,0.37908501474271644,0.13837964981853218,0.14265169623724236,0.49940675129170164,0.24070536492418426,289.5,0.0,1.0,2.0,-0.3079201435678004,0,1,5.671603576291966
PcPd,0.4247929529423362,0.2209670158455352,0.2573219750138609,0.4988337128487522,0.203825937096801,255.5,0.0,1.0,2.0,-0.6543303050815759,0,1,5.547128664610824
PcSh,0.4151283690750308,0.19923088411339396,0.20887584817379806,0.36245838263134544,0.21589748496163683,423.5,0.0,1.0,2.0,-0.7698003589195012,1,1,6.050912005751402
PdAs,0.44443335395772543,0.19805135353117684,0.18299719753617286,0.49741135504035816,0.24638200042654862,347.5,0.0,1.0,1.0,-0.0769800358919501,1,1,5.853638230200579
PdBa,0.4675915701241812,0.23425779107305694,0.2555465768170266,0.49853111054806165,0.2333337790511242,208.0,0.0,1.0,1.0,-0.0769800358919501,1,1,5.342334251964811
PdCh,0.44038413349160105,0.17335581269273928,0.1848147257616778,0.47504934007685296,0.26702832079886174,299.5,0.0,1.0,1.0,0.0384900179459749,1,1,5.705447753975262
PdCm,0.27510091471442755,-0.008335975115655467,0.003547307548203052,0.4384320963953934,0.283436889830083,313.0,0.0,1.0,1.0,0.2694301256218253,0,1,5.749392985908253
PdCo,0.4066709222233822,0.19615898261879747,0.21307578507405778,0.4179706207206194,0.21051193960458472,357.0,0.0,1.0,1.0,-0.4233901974057255,1,1,5.8805329864007
