game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap
61,61,132,False,51,29,CoCh,ChCo,BiasedCycle,,"2,4,3,1","4,3,1,2","2,3,1,4","1,4,3,2",0,0,0,-1,P61,P132,MP,MP,A4,A4,H,H,0.824833703,0.294900222,0.824833703,0.705099778,0.6694,0.875,0,,,,,,
62,62,62,True,92,92,HrHr,HrHr,Hero,Hero,"3,1,2,4","4,1,2,3","3,1,2,4","4,1,2,3",2,0,1,0,P62,P62,CO2,CO2,B4,B4,E,E,0.818181818,0.818181818,0.181818182,0.181818182,0.684,0.684,20,0.35782482994289744,0.33900512909423436,0.13533538333351927,0.13492859052033593,43;392;582;760;814;836;904;932;955;971;975;985;989;1007;1019;1069;1071;1083;1102;1119,0.2359789746076982
63,63,133,False,86,20,HrBa,BaHr,QuasiBattle,,"3,1,2,4","4,2,1,3","3,2,1,4","4,1,2,3",2,0,1,-1,P63,P133,CO1,CO1,B3,B3,E,E,0.729490022,0.396895787,0.270509978,0.603104213,0.8422,0.9691,0,,,,,,
64,64,134,False,50,17,CoBa,BaCo,QuasiCycle,,"2,4,3,1","4,2,1,3","3,2,1,4","1,4,3,2",0,0,0,-1,P64,P134,MP,MP,A4,A4,H,H,0.853658537,0.33924612,0.853658537,0.66075388,0.6006,0.9241,0,,,,,,
65,65,135,False,89,56,HrCo,CoHr,,PursuitCycle,"3,1,2,4","1,4,3,2","2,4,3,1","4,1,2,3",0,0,1,1,P65,P135,MP,MP,A2,A2,H,H,0.858093126,0.753880266,0.141906874,0.753880266,0.5892,0.8051,0,,,,,,
66,66,136,False,87,32,HrCh,ChHr,Hero-Chicken,,"3,1,2,4","4,3,1,2","2,3,1,4","4,1,2,3",2,0,1,-1,P66,P136,CO1,CO1,B3,B3,E,E,0.649667406,0.474501109,0.350332594,0.525498891,0.9344,0.9981,0,,,,,,
67,67,137,False,85,8,HrAs,AsHr,,ZeroSumCycle,"3,1,2,4","2,4,3,1","1,4,3,2","4,1,2,3",0,0,1,-1,P67,P137,MP,MP,A4,A4,H,H,0.7827051,0.257206208,0.2172948999999999,0.257206208,0.7552,0.8225,0,,,,,,
68,68,138,False,96,140,HrSh,ShHr,,CrisisCycle,"3,1,2,4","3,4,2,1","1,4,2,3","4,1,2,3",0,0,1,-1,P68,P138,MP,MP,A4,A4,H,H,0.705099778,0.201773836,0.294900222,0.201773836,0.875,0.7255,0,,,,,,
69,69,69,True,144,144,ShSh,ShSh,StagHunt,StagHunt,"1,4,2,3","3,4,2,1","1,4,2,3","3,4,2,1",2,0,-1,-1,P69,P69,CO1,CO1,B2,B2,C,C,0.474501109,0.474501109,0.474501109,0.474501109,0.9981,0.9981,0,,,,,,
70,70,139,False,133,12,ShAs,AsSh,,AsymAssurance,"1,4,2,3","2,4,3,1","1,4,3,2","3,4,2,1",2,0,-1,-1,P70,P139,CO1,CO1,B2,B2,C,C,0.516629712,0.516629712,0.516629712,0.516629712,0.9992,0.9992,0,,,,,,
71,71,140,False,135,36,ShCh,ChSh,EndlessCycle,,"1,4,2,3","4,3,1,2","2,3,1,4","3,4,2,1",0,0,-1,-1,P71,P140,MP,MP,A4,A4,H,H,0.407982262,0.241685144,0.407982262,0.758314856,0.9754,0.7978,0,,,,,,
72,72,141,False,26,15,ChBa,BaCh,,Battle-Chicken,"2,3,1,4","4,2,1,3","3,2,1,4","4,3,1,2",2,0,-1,-1,P72,P141,CO2,CO2,A3,A3,E,E,0.445676275,0.294900222,0.5543237249999999,0.705099778,0.9915,0.875,0,,,,,,
