unique_id,game_id,role,topology_raw,up_choice,has_ties,cardinal_p1,cardinal_p2,ordinal_p1,ordinal_p2,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,up_choice_canonical
159,80,rowplayer,"('chicken', 'chicken')",0.7021276595744681,True,"19,15,23,3","10,17,10,6",,,,,,,
160,80,colplayer,"('chicken', 'chicken')",0.5555555555555556,True,"10,10,17,6","19,23,15,3",,,,,,,
161,81,rowplayer,"('hero', 'assurance')",0.131578947368421,True,"3,5,35,5","36,21,9,24",,,,,,,
162,81,colplayer,"('assurance', 'hero')",0.2142857142857142,True,"36,9,21,24","3,35,5,5",,,,,,,
163,82,rowplayer,"('dilemma', 'harmony')",0.1515151515151515,False,"18,11,26,17","9,4,7,2","3,1,4,2","4,2,3,1",127.0,False,True,P1,0.1515151515151515
164,82,colplayer,"('harmony', 'dilemma')",0.9210526315789472,False,"9,7,4,2","18,26,11,17","4,3,2,1","3,4,1,2",83.0,False,True,P1,0.9210526315789472
165,83,rowplayer,"('hero', 'hero')",0.4146341463414634,True,"5,15,15,7","10,30,20,17",,,,,,,
166,83,colplayer,"('hero', 'hero')",0.1904761904761904,True,"10,20,30,17","5,15,15,7",,,,,,,
167,84,rowplayer,"('deadlock', 'harmony')",0.2,True,"7,4,24,18","6,5,5,2",,,,,,,
168,84,colplayer,"('harmony', 'deadlock')",0.7857142857142857,True,"6,5,5,2","7,24,4,18",,,,,,,
169,85,rowplayer,"('compromise', 'dilemma')",0.25,False,"10,15,35,33","26,38,5,21","1,2,4,3","3,4,1,2",47.0,False,True,P1,0.25
170,85,colplayer,"('dilemma', 'compromise')",0.052631579,False,"26,5,38,21","10,35,15,33","3,1,4,2","1,4,2,3",124.0,False,True,P1,0.052631579
171,86,rowplayer,"('harmony', 'leader')",0.7894736842105263,False,"7,6,4,3","18,38,30,12","4,3,2,1","2,4,3,1",74.0,False,True,P1,0.7894736842105263
172,86,colplayer,"('leader', 'harmony')",0.4137931034482758,False,"18,30,38,12","7,4,6,3","2,3,4,1","4,2,3,1",19.0,False,True,P1,0.4137931034482758
173,87,rowplayer,"('safecoord', 'assurance')",0.8974358974358975,False,"25,6,1,14","30,5,2,11","4,2,1,3","4,2,1,3",49.0,False,True,P1,0.8974358974358975
