model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen_instruct,h1_dinc,65,random,BaAs,MP,0.0,-0.008525000000000008,0.010774999999999996,-0.0009749999999999951,0.006375000000000018,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,BaBa,CO2,0.0,0.03995833333333336,0.02227500000000001,-0.038841666666666684,0.023675000000000022,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,BaCh,CO2,0.0,0.04788333333333333,0.02335,-0.0625333333333333,0.03414999999999999,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,BaCm,OD1,0.0,0.04567499999999999,0.025200000000000014,-0.05534166666666666,0.030550000000000008,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,BaCo,MP,0.0,0.021341666666666658,0.011874999999999998,-0.026908333333333326,0.014175,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,BaDl,OD1,0.0,0.049358333333333324,0.027774999999999994,-0.05795833333333327,0.030824999999999964,-0.4166666666666666,0.25,1
qwen_instruct,h1_dinc,65,random,BaHa,OD2,-0.0,0.022058333333333333,0.012624999999999997,0.027641666666666773,0.014150000000000051,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,BaHr,CO1,0.0,0.06535,0.03464999999999999,-0.06191666666666669,0.032999999999999995,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,BaNc,OD2,-0.0,-0.002449999999999999,0.009225000000000004,0.00038333333333337774,0.009950000000000014,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,BaPc,OD2,-0.0,-0.001016666666666634,0.00762500000000002,-0.0033499999999999463,0.008925000000000016,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,BaPd,OD1,0.0,0.03884999999999997,0.022675000000000018,-0.048033333333333275,0.02879999999999997,-0.33333333333333337,0.25,1
qwen_instruct,h1_dinc,65,random,BaSh,MP,0.0,0.016616666666666655,0.01634999999999999,-0.01964999999999998,0.011824999999999994,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,ChAs,MP,0.0,0.043058333333333317,0.025025,-0.03249166666666669,0.018650000000000014,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,ChBa,CO2,0.0,0.06239999999999996,0.03194999999999998,-0.06404999999999997,0.032399999999999984,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,ChCh,CO2,0.0,0.021416666666666667,0.013024999999999998,-0.02238333333333333,0.01342499999999999,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,ChCm,OD1,0.0,0.058025000000000014,0.027950000000000003,-0.06299166666666667,0.03,-0.6666666666666667,0.25,1
