model,mode,steer_layer,variant,family,n_games,d_letter_slope_mean,d_letter_range_mean,d_canon_slope_mean,d_canon_range_mean,d_beh_canon_slope_mean,d_beh_canon_range_mean,flip_canon_rate,cell_canon_range_mean
qwen,h2_choice,65,random,DD,9,0.015719444444444442,0.01818611111111111,0.0010824074074073863,0.015650000000000004,0.0,0.0,0.0,0.035022222222222205
qwen,h2_choice,65,random,MP,9,0.008558333333333338,0.019761111111111108,0.013869444444444441,0.019799999999999998,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.03641666666666668
qwen,h2_choice,65,random,OD1,9,0.009547222222222224,0.01176111111111111,0.00036574074074072823,0.018152777777777775,0.04629629629629631,0.16666666666666666,0.16666666666666666,0.029180555555555557
qwen,h2_choice,65,random,OD2,9,0.019190740740740755,0.019586111111111113,0.0026796296296296494,0.015363888888888896,0.02777777777777779,0.027777777777777776,0.027777777777777776,0.03576666666666666
qwen,h2_choice,79,main,CO1,9,-0.18566666666666662,0.09031666666666666,-0.003520370370370369,0.01494722222222221,-0.1203703703703703,0.2222222222222222,0.25,0.09051944444444443
qwen,h2_choice,79,main,CO2,9,-0.17585648148148147,0.08678888888888889,0.0017009259259259252,0.01828611111111112,0.02777777777777779,0.16666666666666666,0.2777777777777778,0.08694166666666667
qwen,h2_choice,79,main,DD,9,-0.16807777777777777,0.08301944444444444,0.0057870370370370385,0.014022222222222222,-0.046296296296296294,0.027777777777777776,0.027777777777777776,0.08319166666666665
qwen,h2_choice,79,main,MP,9,-0.1891037037037037,0.09696666666666667,0.008642592592592598,0.017599999999999994,0.19444444444444445,0.2222222222222222,0.3333333333333333,0.09706388888888892
qwen,h2_choice,79,main,OD1,9,-0.19101296296296297,0.0962611111111111,0.004587037037037024,0.013791666666666657,0.046296296296296294,0.16666666666666666,0.3055555555555556,0.09640555555555558
qwen,h2_choice,79,main,OD2,9,-0.18344074074074074,0.09086388888888891,0.002855555555555535,0.01395277777777777,-0.11111111111111109,0.05555555555555555,0.1111111111111111,0.09093055555555554
qwen,h2_choice,79,main_perp,CO1,9,-0.0017750000000000112,0.014636111111111112,-0.009899074074074067,0.01647222222222223,6.1679056923619804e-18,0.08333333333333333,0.08333333333333333,0.025475000000000008
qwen,h2_choice,79,main_perp,CO2,9,-0.0019287037037037187,0.016024999999999994,0.006808333333333319,0.016863888888888887,-0.018518518518518517,0.08333333333333333,0.08333333333333333,0.024161111111111095
qwen,h2_choice,79,main_perp,DD,9,-0.002361111111111127,0.014427777777777774,-0.007994444444444413,0.012527777777777777,0.0,0.0,0.0,0.021561111111111093
qwen,h2_choice,79,main_perp,MP,9,-0.005569444444444447,0.015752777777777786,-0.0029861111111111065,0.013969444444444442,0.00925925925925926,0.1111111111111111,0.1111111111111111,0.023847222222222228
qwen,h2_choice,79,main_perp,OD1,9,-0.0010907407407407393,0.016263888888888887,-0.0055648148148147916,0.012908333333333327,-0.0185185185185185,0.08333333333333333,0.08333333333333333,0.02535833333333332
qwen,h2_choice,79,main_perp,OD2,9,-0.003703703703703715,0.021147222222222227,0.0005833333333333303,0.01616666666666667,0.03703703703703704,0.027777777777777776,0.027777777777777776,0.027624999999999986
qwen,h2_choice,79,random,CO1,9,-0.025976851851851845,0.02134166666666666,-0.003963888888888897,0.015452777777777779,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.029222222222222222
qwen,h2_choice,79,random,CO2,9,-0.03830648148148148,0.02175555555555556,-0.004932407407407407,0.012661111111111114,0.046296296296296294,0.05555555555555555,0.05555555555555555,0.02715277777777778
qwen,h2_choice,79,random,DD,9,-0.022065740740740733,0.020238888888888886,0.00201574074074074,0.012052777777777786,0.0,0.0,0.0,0.02528888888888888
qwen,h2_choice,79,random,MP,9,-0.030118518518518503,0.02234722222222222,0.008924074074074063,0.016649999999999995,0.1111111111111111,0.1388888888888889,0.1388888888888889,0.030394444444444446
qwen,h2_choice,79,random,OD1,9,-0.023195370370370373,0.017138888888888884,-0.010543518518518542,0.013566666666666666,-0.07407407407407404,0.1111111111111111,0.1111111111111111,0.027352777777777768
