delta_c,shap_delta_c,model
0.0,-0.35558057045973096,qwen
0.0,-1.090600176404732,qwen
0.0,-1.508827516995114,qwen
0.0,-1.3885775644151503,qwen
0.0,-1.0679328222118785,qwen
0.0,-0.6894926967934936,qwen
0.0,-0.7746161031903077,qwen
0.0,-0.35558057045973096,qwen
0.0,-1.090600176404732,qwen
0.0,-1.508827516995114,qwen
0.0,-1.3885775644151503,qwen
0.0,-1.0679328222118785,qwen
0.0,-0.6894926967934936,qwen
0.0,-0.7746161031903077,qwen
0.0,-0.35558057045973096,qwen
0.0,-1.090600176404732,qwen
0.0,-1.508827516995114,qwen
0.0,-1.3885775644151503,qwen
0.0,-1.0679328222118785,qwen
0.0,-0.6894926967934936,qwen
0.0,-0.7746161031903077,qwen
0.0,-0.35558057045973096,qwen
0.0,-1.090600176404732,qwen
0.0,-1.508827516995114,qwen
0.0,-1.3885775644151503,qwen
0.0,-1.3021208597976621,qwen
0.0,-1.0040196736385287,qwen
0.0,-0.9542944701475191,qwen
0.0,-0.7750035647271591,qwen
0.0,-1.30311144870471,qwen
0.0,-1.5855359567081022,qwen
0.0,-1.5188490649930446,qwen
0.0,-1.3021208597976621,qwen
0.0,-1.0040196736385287,qwen
0.0,-0.9542944701475191,qwen
0.0,-0.7750035647271591,qwen
0.0,-1.30311144870471,qwen
0.0,-1.5855359567081022,qwen
0.0,-1.5188490649930446,qwen
0.0,-1.3021208597976621,qwen
0.0,-1.0040196736385287,qwen
0.0,-0.9542944701475191,qwen
0.0,-0.7750035647271591,qwen
0.0,-1.30311144870471,qwen
0.0,-1.5855359567081022,qwen
0.0,-1.5188490649930446,qwen
0.0,-1.3021208597976621,qwen
0.0,-1.0040196736385287,qwen
0.0,-0.9542944701475191,qwen
0.0,-0.7750035647271591,qwen
0.0,-1.30311144870471,qwen
0.0,-1.5855359567081022,qwen
0.0,-1.5188490649930446,qwen
0.0,-1.3385978462834864,qwen
0.0,-0.9717723453209364,qwen
0.0,-1.0000065657698214,qwen
0.0,-0.6894412255910177,qwen
0.0,-1.3535980642489942,qwen
0.0,-1.7170412737440206,qwen
0.0,-1.6122608628873933,qwen
0.0,-1.3385978462834864,qwen
0.0,-0.9717723453209364,qwen
0.0,-1.0000065657698214,qwen
0.0,-0.6894412255910177,qwen
0.0,-1.3535980642489942,qwen
0.0,-1.7170412737440206,qwen
0.0,-1.6122608628873933,qwen
0.0,-1.3385978462834864,qwen
0.0,-0.9717723453209364,qwen
0.0,-1.0000065657698214,qwen
0.0,-0.6894412255910177,qwen
0.0,-1.3535980642489942,qwen
0.0,-1.7170412737440206,qwen
0.0,-1.6122608628873933,qwen
0.0,-1.3385978462834864,qwen
0.0,-0.9717723453209364,qwen
0.0,-1.0000065657698214,qwen
0.0,-0.6894412255910177,qwen
0.0,-1.3535980642489942,qwen
0.0,-1.7170412737440206,qwen
0.0,-1.6122608628873933,qwen
0.0,-1.037555164675113,qwen
0.0,-0.767665538534557,qwen
0.0,-0.6675003109486246,qwen
0.0,-0.24021009818068204,qwen
0.0,-1.0408330892885942,qwen
0.0,-1.378460009637498,qwen
0.0,-1.2738742632773237,qwen
0.0,-1.037555164675113,qwen
0.0,-0.767665538534557,qwen
