model,round,trait,family,game,a_star,dose,base0,cue0,null0,shift0,nullshift0,abs_shift,abs_nullshift,shift_pref,nullshift_pref,net_pref,base_pref,n_pairs,flips,flips_aligned,source
gptoss,1,inequity,trait,ChSh,0,1.0,1.0,1.0,0.5,0.0,-0.5,0.0,0.5,0.0,-0.5,0.5,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,CmCo,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,CmPc,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,CoCm,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,CoDl,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,CoHa,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,CoHr,1,-1.0,0.5,0.0,0.75,-0.5,0.25,0.5,0.25,0.5,-0.25,0.75,0.5,4,2,2,corrected_integrated_root
gptoss,1,inequity,trait,CoNc,0,1.0,0.25,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.25,4,3,3,corrected_integrated_root
gptoss,1,inequity,trait,CoPc,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,CoPd,1,-1.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,-0.0,-0.25,0.25,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,DlCm,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,DlHr,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,HaAs,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,HaBa,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,HaCh,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,HaCm,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,HaHr,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,HaSh,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,HrCm,0,1.0,0.75,1.0,0.75,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,HrCo,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,HrDl,0,1.0,1.0,1.0,0.75,0.0,-0.25,0.0,0.25,0.0,-0.25,0.25,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,HrHa,1,-1.0,0.25,0.0,0.0,-0.25,-0.25,0.25,0.25,0.25,0.25,-0.0,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,HrPc,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,NcAs,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,NcBa,1,-2.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,NcCh,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,NcCm,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,NcCo,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,NcHr,1,-2.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,NcSh,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,PcCm,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,PcDl,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,PcHa,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,PcHr,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,PcNc,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,PcPd,1,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,PdAs,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,PdBa,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,PdCm,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,PdCo,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,inequity,trait,PdHr,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,ShAs,0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,ShBa,1,-2.0,0.25,0.0,0.5,-0.25,0.25,0.25,0.25,0.25,-0.25,0.5,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,ShCh,1,-1.0,0.25,0.0,0.0,-0.25,-0.25,0.25,0.25,0.25,0.25,-0.0,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,ShCm,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,ShCo,0,1.0,0.75,1.0,0.75,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,ShDl,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,ShHr,1,-3.0,0.25,0.0,0.25,-0.25,0.0,0.25,0.0,0.25,-0.0,0.25,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,ShPd,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,selfish,trait,CmAs,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,selfish,trait,CmBa,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,selfish,trait,CmCh,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
