unique_id,game_id,up_choice,p1_AA,p1_AB,p1_BA,p1_BB,p2_AA,p2_AB,p2_BA,p2_BB,role,topology_raw,choice_br,choice_psne
2063,1032,0.7878787878787878,47,5,3,11,10,1,2,6,rowplayer,"('safecoord', 'safecoord')",0.7878787878787878,1
2066,1033,0.25806451612903225,4,8,21,1,6,37,35,3,colplayer,"('leader', 'leader')",0.7419354838709677,1
2065,1033,0.7894736842105263,6,35,37,3,4,21,8,1,rowplayer,"('leader', 'leader')",0.7894736842105263,1
2068,1034,0.8292682926829268,18,14,23,1,8,26,6,4,colplayer,"('chicken', 'chicken')",0.8292682926829268,1
2067,1034,0.275,8,6,26,4,18,23,14,1,rowplayer,"('chicken', 'chicken')",0.725,1
2072,1036,0.475,29,5,15,23,20,8,1,9,colplayer,"('assurance', 'assurance')",0.475,1
2071,1036,0.6938775510204082,20,1,8,9,29,15,5,23,rowplayer,"('assurance', 'assurance')",0.6938775510204082,1
2080,1040,0.6190476190476191,42,9,19,29,38,16,5,19,colplayer,"('assurance', 'assurance')",0.6190476190476191,1
2079,1040,0.7,38,5,16,19,42,19,9,29,rowplayer,"('assurance', 'assurance')",0.7,1
2082,1041,0.35714285714285715,17,20,27,11,12,31,28,1,colplayer,"('leader', 'leader')",0.6428571428571429,1
2081,1041,0.6956521739130435,12,28,31,1,17,27,20,11,rowplayer,"('leader', 'leader')",0.6956521739130435,1
2098,1049,0.918918919,45,6,2,13,44,3,4,13,colplayer,"('safecoord', 'safecoord')",0.918918919,1
2097,1049,0.8936170212765957,44,4,3,13,45,2,6,13,rowplayer,"('safecoord', 'safecoord')",0.8936170212765957,1
2100,1050,0.5952380952380952,12,11,17,9,19,25,9,2,colplayer,"('chicken', 'chicken')",0.40476190476190477,1
2099,1050,0.7045454545454546,19,9,25,2,12,17,11,9,rowplayer,"('chicken', 'chicken')",0.29545454545454547,1
2102,1051,0.8064516129032258,16,5,4,7,25,7,12,13,colplayer,"('safecoord', 'safecoord')",0.8064516129032258,1
2101,1051,0.8571428571428571,25,12,7,13,16,4,5,7,rowplayer,"('safecoord', 'safecoord')",0.8571428571428571,1
2106,1053,0.8571428571428571,18,7,4,14,23,2,10,11,colplayer,"('safecoord', 'safecoord')",0.8571428571428571,1
2105,1053,0.9666666666666667,23,10,2,11,18,4,7,14,rowplayer,"('safecoord', 'safecoord')",0.9666666666666667,1
2110,1055,0.48717948717948717,7,2,20,1,26,40,4,1,colplayer,"('chicken', 'chicken')",0.5128205128205128,1
2109,1055,0.6363636363636364,26,4,40,1,7,20,2,1,rowplayer,"('chicken', 'chicken')",0.36363636363636365,1
2112,1056,0.9565217391304348,26,12,9,15,22,2,5,11,colplayer,"('safecoord', 'safecoord')",0.9565217391304348,1
2111,1056,0.9230769230769231,22,5,2,11,26,9,12,15,rowplayer,"('safecoord', 'safecoord')",0.9230769230769231,1
2116,1058,0.8518518518518519,34,20,5,27,35,1,4,13,colplayer,"('safecoord', 'safecoord')",0.8518518518518519,1
2115,1058,0.85,35,4,1,13,34,5,20,27,rowplayer,"('safecoord', 'safecoord')",0.85,1
2138,1069,0.6170212765957447,1,14,22,2,1,27,5,3,colplayer,"('hero', 'hero')",0.6170212765957447,1
2137,1069,0.23809523809523808,1,5,27,3,1,22,14,2,rowplayer,"('hero', 'hero')",0.7619047619047619,1
2142,1071,0.425,1,11,12,6,2,26,22,6,colplayer,"('hero', 'hero')",0.575,1
2141,1071,0.4827586206896552,2,22,26,6,1,12,11,6,rowplayer,"('hero', 'hero')",0.5172413793103449,1
2148,1074,0.5238095238095238,15,1,9,6,31,8,1,3,colplayer,"('staghunt', 'staghunt')",0.5238095238095238,1
2147,1074,0.7727272727272727,31,1,8,3,15,9,1,6,rowplayer,"('staghunt', 'staghunt')",0.7727272727272727,1
2160,1080,0.42424242424242425,25,8,12,22,20,7,2,11,colplayer,"('assurance', 'assurance')",0.42424242424242425,1
2159,1080,0.53125,20,2,7,11,25,12,8,22,rowplayer,"('assurance', 'assurance')",0.53125,1
2166,1083,0.3023255813953488,2,23,43,8,1,29,23,16,colplayer,"('hero', 'hero')",0.6976744186046512,1
2165,1083,0.3333333333333333,1,23,29,16,2,43,23,8,rowplayer,"('hero', 'hero')",0.6666666666666666,1
2170,1085,0.5,16,23,35,13,8,17,9,4,colplayer,"('leader', 'leader')",0.5,1
2169,1085,0.475,8,9,17,4,16,35,23,13,rowplayer,"('leader', 'leader')",0.525,1
2174,1087,0.8709677419354839,22,20,24,6,24,42,8,1,colplayer,"('chicken', 'chicken')",0.8709677419354839,1
2173,1087,0.5263157894736842,24,8,42,1,22,24,20,6,rowplayer,"('chicken', 'chicken')",0.47368421052631576,1
2176,1088,0.8913043478260869,43,25,19,31,38,2,9,11,colplayer,"('safecoord', 'safecoord')",0.8913043478260869,1
2175,1088,0.972972973,38,9,2,11,43,19,25,31,rowplayer,"('safecoord', 'safecoord')",0.972972973,1
2188,1094,0.8235294117647058,17,18,22,4,6,18,16,2,colplayer,"('leader', 'leader')",0.8235294117647058,1
2187,1094,0.4358974358974359,6,16,18,2,17,22,18,4,rowplayer,"('leader', 'leader')",0.5641025641025641,1
2198,1099,0.5483870967741935,13,5,11,10,7,4,2,3,colplayer,"('staghunt', 'staghunt')",0.5483870967741935,1
2197,1099,0.7755102040816326,7,2,4,3,13,11,5,10,rowplayer,"('staghunt', 'staghunt')",0.7755102040816326,1
