model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen,h1_dinc,65,random,CmAs,OD1,2.0,0.03411666666666667,0.019199999999999995,-0.013616666666666784,0.015449999999999992,0.0,0.0,1
qwen,h1_dinc,65,random,CmCm,DD,1.0,0.04537500000000003,0.02625000000000001,-0.027391666666666734,0.01460000000000003,0.0,0.0,1
qwen,h1_dinc,65,random,CmDl,DD,1.0,0.026925000000000004,0.023425,0.04072499999999999,0.02057500000000001,0.0,0.0,1
qwen,h1_dinc,65,random,CmHa,DD,3.0,0.011233333333333312,0.006725000000000009,-0.012516666666666705,0.014724999999999988,0.0,0.0,1
qwen,h1_dinc,65,random,CmNc,DD,2.5,0.024925000000000013,0.018275000000000013,-0.02475833333333327,0.011374999999999968,0.0,0.0,1
qwen,h1_dinc,65,random,CoAs,CO2,1.0,0.019650000000000025,0.021350000000000008,-0.012083333333333382,0.01435000000000003,0.0,0.0,1
qwen,h1_dinc,65,random,CoCo,CO1,1.0,0.0072166666666666586,0.008575000000000013,0.012850000000000037,0.015649999999999997,0.5,0.25,1
qwen,h1_dinc,65,random,CoSh,CO2,1.0,0.04193333333333334,0.022300000000000014,0.01978333333333333,0.008900000000000047,0.16666666666666669,0.25,1
qwen,h1_dinc,65,random,HaAs,OD2,2.0,0.015150000000000042,0.007700000000000026,0.008583333333333429,0.01352500000000001,0.0,0.0,1
qwen,h1_dinc,65,random,HaBa,OD2,2.0,-0.002466666666666664,0.021174999999999986,-0.021566666666666665,0.015749999999999986,0.0,0.0,1
qwen,h1_dinc,65,random,HaCm,DD,2.0,0.018341666666666714,0.015425000000000008,-0.019624999999999976,0.008649999999999991,0.0,0.0,1
qwen,h1_dinc,65,random,HaDl,DD,2.0,0.016108333333333277,0.02247499999999998,0.025608333333333327,0.012700000000000017,0.0,0.0,1
qwen,h1_dinc,65,random,HaHa,DD,2.0,-0.004300000000000041,0.008074999999999999,-0.0034166666666666638,0.007675000000000015,0.0,0.0,1
qwen,h1_dinc,65,random,HaNc,DD,2.0,-0.03299999999999998,0.02105,0.010766666666666586,0.013375000000000026,0.0,0.0,1
qwen,h1_dinc,65,random,HaPc,DD,2.0,0.03586666666666668,0.021275000000000002,0.020349999999999938,0.014749999999999958,0.0,0.0,1
qwen,h1_dinc,65,random,HrAs,MP,1.0,0.032391666666666694,0.030100000000000016,0.011708333333333314,0.02262499999999998,0.0,0.0,1
qwen,h1_dinc,65,random,HrBa,CO1,-1.0,0.018200000000000004,0.015200000000000005,0.01564999999999995,0.015550000000000008,0.0,0.0,1
qwen,h1_dinc,65,random,HrCh,CO1,-1.0,0.049549999999999976,0.028249999999999983,-0.01795,0.02200000000000002,0.0,0.0,1
qwen,h1_dinc,65,random,HrHr,CO2,-1.0,0.013233333333333312,0.021475000000000008,-0.022283333333333325,0.014224999999999988,0.0,0.0,1
qwen,h1_dinc,65,random,ShAs,CO1,0.0,0.010133333333333326,0.030149999999999996,0.010266666666666655,0.014825000000000005,0.0,0.0,0
qwen,h1_dinc,65,random,ShCo,CO2,1.0,0.025166666666666657,0.015325000000000005,-0.04616666666666668,0.023050000000000015,0.0,0.0,0
