model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
gptoss,NcCh,1.0,-0.3839378726988656,1.0,4,0.06675481575062674,0.09166984970282117,pure_commitment,36
gptoss,NcCm,1.0,78.83485433495437,1.0,4,1.5435101706596777,0.09166984970282117,pure_commitment,36
gptoss,NcCo,1.0,-4.778808934998455,1.0,4,-0.015172075514937667,0.09166984970282117,pure_commitment,36
gptoss,NcDl,1.0,48.74046613967099,1.0,4,0.9825063017342062,0.09166984970282117,pure_commitment,36
gptoss,NcHa,1.0,-1.0086774133860494,1.0,4,0.0551087474829501,0.09166984970282117,pure_commitment,36
gptoss,NcHr,1.0,145.78062436581743,1.0,4,2.7914782553338577,0.09166984970282117,pure_commitment,36
gptoss,NcNc,1.0,26.557137284318912,1.0,4,0.5689762697314611,0.09166984970282117,pure_commitment,36
gptoss,NcPc,1.0,79.1698575115669,1.0,4,1.5497551249336246,0.09166984970282117,pure_commitment,36
gptoss,NcPd,1.0,52.89368724612129,1.0,4,1.0599284807166225,0.09166984970282117,pure_commitment,36
gptoss,NcSh,1.0,34.91943196111012,1.0,4,0.724861800161018,0.09166984970282117,pure_commitment,36
gptoss,PcAs,1.0,-10.294838432844188,2.0,4,-0.11799901684759043,1.191708046136675,pure_commitment,36
gptoss,PcBa,1.0,-6.7097381735052934,2.0,4,-0.051167450014474,1.191708046136675,pure_commitment,36
gptoss,PcCh,1.0,-1.9375611435930828,2.0,4,0.037792982063610515,1.191708046136675,pure_commitment,36
gptoss,PcCm,1.0,34.60486442310629,2.0,4,0.7189977963901699,1.191708046136675,pure_commitment,36
gptoss,PcCo,1.0,133.2951551008986,2.0,4,2.5587306574256434,1.191708046136675,pure_commitment,36
gptoss,PcDl,1.0,79.12867208056191,2.0,4,1.5489873676365753,1.191708046136675,pure_commitment,36
gptoss,PcHa,1.0,2.3455770785178096,2.0,4,0.11763700807120252,1.191708046136675,pure_commitment,36
gptoss,PcHr,1.0,54.95009239825687,2.0,4,1.0982629116723295,1.191708046136675,pure_commitment,36
gptoss,PcNc,1.0,-2.9540512144779427,2.0,4,0.018844104990904054,1.191708046136675,pure_commitment,36
gptoss,PcPc,1.0,-7.981181400219494,2.0,4,-0.07486903067719515,1.191708046136675,pure_commitment,36
gptoss,PcPd,1.0,48.76150308628898,2.0,4,0.9828984615072007,1.191708046136675,pure_commitment,36
gptoss,PcSh,1.0,-19.172835447823314,2.0,4,-0.28349800095694916,1.191708046136675,pure_commitment,36
gptoss,PdAs,1.0,34.985878271040974,1.0,4,0.7261004575713346,0.09166984970282117,pure_commitment,36
gptoss,PdBa,1.0,89.45893671537524,1.0,4,1.741558766315567,0.09166984970282117,pure_commitment,36
gptoss,PdCh,1.0,38.833007784182534,1.0,4,0.7978166369176234,0.09166984970282117,pure_commitment,36
gptoss,PdCm,1.0,29.150851294971787,1.0,4,0.617326931835651,0.09166984970282117,pure_commitment,36
gptoss,PdCo,1.0,-8.551615694390417,1.0,4,-0.08550276889845641,0.09166984970282117,pure_commitment,36
gptoss,PdDl,1.0,-52.35525517628376,1.0,4,-0.9020673411003304,0.09166984970282117,pure_commitment,36
gptoss,PdHa,1.0,1.415740636734995,1.0,4,0.1003034827001897,0.09166984970282117,pure_commitment,36
gptoss,PdHr,1.0,43.417319534670824,1.0,4,0.8832749825631915,0.09166984970282117,pure_commitment,36
gptoss,PdNc,1.0,50.61485069259689,1.0,4,1.0174475997337573,0.09166984970282117,pure_commitment,36
gptoss,PdPc,1.0,71.55898268853191,1.0,4,1.4078771710133227,0.09166984970282117,pure_commitment,36
