layer,condition,cb_id,final_score_canonical,final_score_trait,ap_score_canonical,ap_score_trait,n_ap,cp_score_trait,model,game_code,delta1c
79,cue_loss_aversion,2,-3.3125,,-0.6145833333333334,,3,,qwen,AsCo,0.0
79,cue_loss_aversion,3,-3.375,,-0.5625,,3,,qwen,AsCo,0.0
79,cue_maximin,0,3.0625,,1.1666666666666667,,3,,qwen,AsCo,0.0
79,cue_maximin,1,2.875,,1.0208333333333333,,3,,qwen,AsCo,0.0
79,cue_maximin,2,-3.125,,-1.2916666666666667,,3,,qwen,AsCo,0.0
79,cue_maximin,3,-3.25,,-1.4375,,3,,qwen,AsCo,0.0
79,cue_risk_aversion,0,3.0625,,1.640625,,3,,qwen,AsCo,0.0
79,cue_risk_aversion,1,3.25,,1.6770833333333333,,3,,qwen,AsCo,0.0
79,cue_risk_aversion,2,-3.625,,-2.1458333333333335,,3,,qwen,AsCo,0.0
79,cue_risk_aversion,3,-3.75,,-2.0208333333333335,,3,,qwen,AsCo,0.0
79,cue_selfish_maximizer,0,2.0625,,1.6979166666666667,,3,,qwen,AsCo,0.0
